                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2285,                 2.7637,                 1.7775,                0.95511,                0.81362,                0.37335,                0.42044,                0.32844,                0.78017,                 0.3593,                0.39485,                0.26008,                 1.2183,                 3.0422,                 1.6059,                0.91488,              0.0084524,              0.0084524,              0.0084524
                     89,                 1.2218,                 2.7338,                 1.7697,                0.95362,                 0.7538,                0.37866,                0.41509,                0.32143,                 0.7487,                0.35514,                 0.3886,                0.25563,                 1.2283,                 3.0806,                 1.6352,                0.91991,              0.0084321,              0.0084321,              0.0084321
                     90,                 1.2034,                 2.6961,                 1.7118,                0.94554,                0.79268,                0.37969,                0.42101,                0.32911,                0.77774,                0.35933,                0.39581,                0.26078,                 1.2183,                 3.0779,                 1.5843,                0.91597,              0.0084117,              0.0084117,              0.0084117
                     91,                 1.2127,                 2.7256,                 1.7353,                0.94731,                0.80638,                 0.3785,                0.42173,                0.32753,                0.77509,                0.35979,                0.39653,                0.26356,                 1.2251,                 3.0361,                 1.5938,                0.91761,              0.0083914,              0.0083914,              0.0083914
                     92,                 1.2038,                 2.6783,                  1.734,                0.94453,                 0.7604,                0.37851,                0.41627,                0.32452,                 0.7661,                0.35526,                0.39262,                0.25807,                 1.2143,                 3.0828,                 1.6219,                0.91447,              0.0083711,              0.0083711,              0.0083711
                     93,                 1.2121,                 2.7124,                 1.7314,                0.94486,                 0.8045,                0.37818,                0.42058,                0.32678,                0.78573,                0.35957,                0.39682,                0.26302,                 1.2091,                 3.0157,                 1.5858,                0.91352,              0.0083508,              0.0083508,              0.0083508
                     94,                    1.2,                 2.6867,                 1.7431,                0.94457,                0.82897,                0.37335,                0.41954,                0.32874,                0.79444,                0.35989,                0.39516,                0.25653,                 1.2127,                 3.0951,                 1.6035,                0.91266,              0.0083305,              0.0083305,              0.0083305
                     95,                 1.2268,                 2.7397,                 1.7389,                0.94954,                0.79854,                0.37396,                0.42079,                0.33034,                0.78999,                0.35773,                0.39861,                0.26537,                 1.2115,                 3.0375,                 1.5878,                0.91587,              0.0083101,              0.0083101,              0.0083101
                     96,                 1.2152,                  2.719,                 1.7171,                 0.9493,                0.79661,                0.37244,                0.41906,                0.32617,                0.78632,                0.35527,                0.39293,                0.26105,                 1.2189,                 3.0256,                 1.6306,                0.91258,              0.0082898,              0.0082898,              0.0082898
                     97,                 1.2036,                 2.6853,                 1.7137,                 0.9429,                0.79121,                0.37841,                0.42082,                0.32952,                0.78435,                0.36347,                0.39923,                0.26501,                 1.2006,                 3.0255,                 1.5954,                0.91182,              0.0082695,              0.0082695,              0.0082695
                     98,                 1.2017,                 2.6867,                 1.6818,                  0.942,                0.84437,                0.36844,                0.42305,                0.33053,                0.80968,                0.35394,                0.39754,                0.26395,                 1.1937,                  3.029,                 1.5601,                0.90952,              0.0082492,              0.0082492,              0.0082492
